x1,x2,F1,F2
-0.712000,-0.712000,0.012040,0.191044
-0.710000,-0.710000,0.012150,0.191901
-0.708000,-0.708000,0.012260,0.192762
-0.706000,-0.706000,0.012370,0.193627
-0.704000,-0.704000,0.012480,0.194495
-0.702000,-0.702000,0.012600,0.195367
-0.700000,-0.700000,0.012710,0.196243
-0.698000,-0.698000,0.012830,0.197122
-0.696000,-0.696000,0.012950,0.198005
-0.694000,-0.694000,0.013060,0.198892
-0.692000,-0.692000,0.013180,0.199782
-0.690000,-0.690000,0.013300,0.200676
-0.688000,-0.688000,0.013430,0.201574
-0.686000,-0.686000,0.013550,0.202476
-0.684000,-0.684000,0.013670,0.203381
-0.682000,-0.682000,0.013800,0.204291
-0.680000,-0.680000,0.013920,0.205204
-0.678000,-0.678000,0.014050,0.206120
-0.676000,-0.676000,0.014180,0.207041
-0.674000,-0.674000,0.014310,0.207966
-0.672000,-0.672000,0.014440,0.208894
-0.670000,-0.670000,0.014570,0.209826
-0.668000,-0.668000,0.014700,0.210762
-0.666000,-0.666000,0.014840,0.211702
-0.664000,-0.664000,0.014970,0.212646
-0.662000,-0.662000,0.015110,0.213593
-0.660000,-0.660000,0.015250,0.214545
-0.658000,-0.658000,0.015390,0.215500
-0.656000,-0.656000,0.015530,0.216460
-0.654000,-0.654000,0.015670,0.217423
-0.652000,-0.652000,0.015810,0.218390
-0.650000,-0.650000,0.015960,0.219362
-0.648000,-0.648000,0.016100,0.220337
-0.646000,-0.646000,0.016250,0.221316
-0.644000,-0.644000,0.016400,0.222299
-0.642000,-0.642000,0.016550,0.223287
-0.640000,-0.640000,0.016700,0.224278
-0.638000,-0.638000,0.016850,0.225273
-0.636000,-0.636000,0.017000,0.226273
-0.634000,-0.634000,0.017160,0.227276
-0.632000,-0.632000,0.017310,0.228284
-0.630000,-0.630000,0.017470,0.229295
-0.628000,-0.628000,0.017630,0.230311
-0.626000,-0.626000,0.017790,0.231331
-0.624000,-0.624000,0.017950,0.232355
-0.622000,-0.622000,0.018120,0.233383
-0.620000,-0.620000,0.018280,0.234415
-0.618000,-0.618000,0.018450,0.235451
-0.616000,-0.616000,0.018610,0.236492
-0.614000,-0.614000,0.018780,0.237536
-0.612000,-0.612000,0.018950,0.238585
-0.610000,-0.610000,0.019130,0.239638
-0.608000,-0.608000,0.019300,0.240695
-0.606000,-0.606000,0.019480,0.241757
-0.604000,-0.604000,0.019650,0.242823
-0.602000,-0.602000,0.019830,0.243892
-0.600000,-0.600000,0.020010,0.244967
-0.598000,-0.598000,0.020190,0.246045
-0.596000,-0.596000,0.020380,0.247128
-0.594000,-0.594000,0.020560,0.248215
-0.592000,-0.592000,0.020750,0.249306
-0.590000,-0.590000,0.020940,0.250401
-0.588000,-0.588000,0.021130,0.251501
-0.586000,-0.586000,0.021320,0.252605
-0.584000,-0.584000,0.021510,0.253714
-0.582000,-0.582000,0.021710,0.254827
-0.580000,-0.580000,0.021900,0.255944
-0.578000,-0.578000,0.022100,0.257065
-0.576000,-0.576000,0.022300,0.258191
-0.574000,-0.574000,0.022510,0.259321
-0.572000,-0.572000,0.022710,0.260456
-0.570000,-0.570000,0.022920,0.261595
-0.568000,-0.568000,0.023120,0.262738
-0.566000,-0.566000,0.023330,0.263886
-0.564000,-0.564000,0.023540,0.265038
-0.562000,-0.562000,0.023760,0.266195
-0.560000,-0.560000,0.023970,0.267356
-0.558000,-0.558000,0.024190,0.268521
-0.556000,-0.556000,0.024410,0.269691
-0.554000,-0.554000,0.024630,0.270866
-0.552000,-0.552000,0.024850,0.272045
-0.550000,-0.550000,0.025080,0.273228
-0.548000,-0.548000,0.025300,0.274416
-0.546000,-0.546000,0.025530,0.275608
-0.544000,-0.544000,0.025760,0.276805
-0.542000,-0.542000,0.025990,0.278006
-0.540000,-0.540000,0.026230,0.279212
-0.538000,-0.538000,0.026470,0.280422
-0.536000,-0.536000,0.026700,0.281637
-0.534000,-0.534000,0.026950,0.282857
-0.532000,-0.532000,0.027190,0.284081
-0.530000,-0.530000,0.027430,0.285309
-0.528000,-0.528000,0.027680,0.286542
-0.526000,-0.526000,0.027930,0.287780
-0.524000,-0.524000,0.028180,0.289022
-0.522000,-0.522000,0.028440,0.290269
-0.520000,-0.520000,0.028690,0.291520
-0.518000,-0.518000,0.028950,0.292776
-0.516000,-0.516000,0.029210,0.294036
-0.514000,-0.514000,0.029480,0.295301
-0.512000,-0.512000,0.029740,0.296571
-0.510000,-0.510000,0.030010,0.297845
-0.508000,-0.508000,0.030280,0.299124
-0.506000,-0.506000,0.030550,0.300408
-0.504000,-0.504000,0.030830,0.301696
-0.502000,-0.502000,0.031100,0.302988
-0.500000,-0.500000,0.031380,0.304286
-0.498000,-0.498000,0.031660,0.305587
-0.496000,-0.496000,0.031950,0.306894
-0.494000,-0.494000,0.032240,0.308205
-0.492000,-0.492000,0.032520,0.309521
-0.490000,-0.490000,0.032820,0.310842
-0.488000,-0.488000,0.033110,0.312167
-0.486000,-0.486000,0.033410,0.313496
-0.484000,-0.484000,0.033710,0.314831
-0.482000,-0.482000,0.034010,0.316170
-0.480000,-0.480000,0.034310,0.317513
-0.478000,-0.478000,0.034620,0.318862
-0.476000,-0.476000,0.034930,0.320215
-0.474000,-0.474000,0.035240,0.321572
-0.472000,-0.472000,0.035560,0.322935
-0.470000,-0.470000,0.035880,0.324301
-0.468000,-0.468000,0.036200,0.325673
-0.466000,-0.466000,0.036520,0.327049
-0.464000,-0.464000,0.036850,0.328430
-0.462000,-0.462000,0.037180,0.329816
-0.460000,-0.460000,0.037510,0.331206
-0.458000,-0.458000,0.037850,0.332601
-0.456000,-0.456000,0.038180,0.334000
-0.454000,-0.454000,0.038520,0.335404
-0.452000,-0.452000,0.038870,0.336813
-0.450000,-0.450000,0.039220,0.338226
-0.448000,-0.448000,0.039560,0.339644
-0.446000,-0.446000,0.039920,0.341067
-0.444000,-0.444000,0.040270,0.342494
-0.442000,-0.442000,0.040630,0.343926
-0.440000,-0.440000,0.040990,0.345363
-0.438000,-0.438000,0.041360,0.346804
-0.436000,-0.436000,0.041730,0.348250
-0.434000,-0.434000,0.042100,0.349700
-0.432000,-0.432000,0.042470,0.351155
-0.430000,-0.430000,0.042850,0.352615
